campaignId,campaignName,date,advertiserAdClicks,advertiserAdCost
17207660104,AT_Search_Brand,13/04/2023,10,2.51
17207660104,AT_Search_Brand,21/09/2022,10,6.55
17207660104,AT_Search_Brand,29/02/2024,11,4.29
17207660104,AT_Search_Brand,14/02/2024,11,7.09
17207660104,AT_Search_Brand,27/11/2023,11,2.37
17207660104,AT_Search_Brand,03/11/2023,11,0.83
17207660104,AT_Search_Brand,25/04/2023,11,1
17207660104,AT_Search_Brand,26/09/2022,11,2.27
17207660104,AT_Search_Brand,22/09/2022,11,3.93
17207660104,AT_Search_Brand,18/08/2022,11,5.85
17207660104,AT_Search_Brand,20/07/2022,11,3.27
17207660104,AT_Search_Brand,08/05/2023,12,2.67
17207660104,AT_Search_Brand,21/03/2023,12,2.92
17207660104,AT_Search_Brand,20/09/2023,13,4.21
17207660104,AT_Search_Brand,05/10/2022,13,3.23
17207660104,AT_Search_Brand,07/07/2022,13,6.55
17207660104,AT_Search_Brand,12/02/2024,14,6.23
17207660104,AT_Search_Brand,24/01/2024,14,3.38
17207660104,AT_Search_Brand,05/07/2022,15,9.89
17207660104,AT_Search_Brand,21/09/2023,17,4.09
17207660104,AT_Search_Brand,20/04/2023,20,1.94
17207660104,AT_Search_Brand,19/09/2023,48,14.11
17207660104,AT_Search_Brand,03/04/2024,3,0.31
17207660104,AT_Search_Brand,02/04/2024,3,1.62
17207660104,AT_Search_Brand,12/03/2024,3,1.43
17207660104,AT_Search_Brand,08/03/2024,3,1.29
17207660104,AT_Search_Brand,05/03/2024,3,1.22
17207660104,AT_Search_Brand,27/02/2024,3,1.58
17207660104,AT_Search_Brand,21/02/2024,3,0.46
17207660104,AT_Search_Brand,16/02/2024,3,0.16
17207660104,AT_Search_Brand,04/02/2024,3,0.12
17207660104,AT_Search_Brand,31/01/2024,3,1.03
17207660104,AT_Search_Brand,28/01/2024,3,0.81
17207660104,AT_Search_Brand,27/01/2024,3,0.03
17207660104,AT_Search_Brand,17/01/2024,3,0.05
17207660104,AT_Search_Brand,09/01/2024,3,0.9
17207660104,AT_Search_Brand,22/12/2023,3,0.44
17207660104,AT_Search_Brand,25/10/2023,3,0.81
17207660104,AT_Search_Brand,22/10/2023,3,0.97
17207660104,AT_Search_Brand,19/10/2023,3,0.73
17207660104,AT_Search_Brand,17/10/2023,3,0.16
17207660104,AT_Search_Brand,16/10/2023,3,0.03
17207660104,AT_Search_Brand,12/10/2023,3,1.4
17207660104,AT_Search_Brand,24/09/2023,3,0.4
17207660104,AT_Search_Brand,23/09/2023,3,0.03
17207660104,AT_Search_Brand,16/09/2023,3,0.41
17207660104,AT_Search_Brand,03/09/2023,3,0.46
17207660104,AT_Search_Brand,31/08/2023,3,0.18
17207660104,AT_Search_Brand,30/08/2023,3,0.03
17207660104,AT_Search_Brand,17/08/2023,3,0.17
17207660104,AT_Search_Brand,09/08/2023,3,0.16
17207660104,AT_Search_Brand,08/08/2023,3,0.71
17207660104,AT_Search_Brand,13/06/2023,3,2.46
17207660104,AT_Search_Brand,07/06/2023,3,0.2
17207660104,AT_Search_Brand,23/05/2023,3,16.32
17207660104,AT_Search_Brand,22/05/2023,3,12.77
17207660104,AT_Search_Brand,28/04/2023,3,0.37
17207660104,AT_Search_Brand,21/04/2023,3,0.11
17207660104,AT_Search_Brand,16/04/2023,3,3.36
17207660104,AT_Search_Brand,12/04/2023,3,0.86
17207660104,AT_Search_Brand,09/04/2023,3,0.55
17207660104,AT_Search_Brand,31/03/2023,3,5.18
17207660104,AT_Search_Brand,26/03/2023,3,1.5
17207660104,AT_Search_Brand,24/03/2023,3,0.23
17207660104,AT_Search_Brand,20/03/2023,3,0.55
17207660104,AT_Search_Brand,18/03/2023,3,4.45
17207660104,AT_Search_Brand,16/03/2023,3,0.88
17207660104,AT_Search_Brand,09/03/2023,3,0.09
17207660104,AT_Search_Brand,24/02/2023,3,0.19
17207660104,AT_Search_Brand,10/02/2023,3,1.71
17207660104,AT_Search_Brand,08/02/2023,3,2.41
17207660104,AT_Search_Brand,07/02/2023,3,0.44
17207660104,AT_Search_Brand,03/02/2023,3,0.7
17207660104,AT_Search_Brand,01/02/2023,3,2.77
17207660104,AT_Search_Brand,18/01/2023,3,0.79
17207660104,AT_Search_Brand,16/01/2023,3,2.18
17207660104,AT_Search_Brand,15/01/2023,3,1.48
17207660104,AT_Search_Brand,21/12/2022,3,0.47
17207660104,AT_Search_Brand,15/12/2022,3,0.59
17207660104,AT_Search_Brand,08/12/2022,3,0.34
17207660104,AT_Search_Brand,02/11/2022,3,0.03
17207660104,AT_Search_Brand,25/10/2022,3,0.8
17207660104,AT_Search_Brand,06/10/2022,3,0.03
17207660104,AT_Search_Brand,17/09/2022,3,0.66
17207660104,AT_Search_Brand,08/09/2022,3,0.27
17207660104,AT_Search_Brand,06/09/2022,3,0.6
