pk_order,fk_seller,dt_checkout_date,cohort,ds_type_of_load,adjusted_gmv,adjusted_net_revenue,adjusted_contribution_margin
a0b09000001InqpAAC,00109000014uoibAAA,2022-06-29,2022-06-29,Mixed,5628.6000,477.0000,141.7000
a0b09000001Ins7AAC,0010900001IP95wAAD,2022-06-29,2022-06-01,Mixed,0.0000,-1519.2000,-1519.2000
a0b09000001IofDAAS,0010900001OTsPMAA1,2022-07-05,2022-07-05,Mixed,3323.1000,143.1000,143.1000
a0b09000001IohJAAS,0010900001QOYVBAA5,2022-07-06,2022-07-06,Mixed,3113.9500,190.6500,307.8800
a0b09000001Ip6wAAC,0010900001INt6vAAD,2022-07-07,2022-07-07,Mixed,17649.5600,1545.6800,766.9300
a0b09000001IpG0AAK,0010900001OUZQxAAP,2022-07-12,2022-07-12,Mixed,15477.0800,1810.4100,430.4100
a0b09000001Iq0qAAC,0010900001OU9jRAAT,2022-07-22,2022-07-22,Mixed,6271.6500,824.1700,174.1700
a0b09000001Iq8PAAS,00109000019J4cEAAS,2022-07-28,2022-06-15,Liquidation,4683.7500,480.2000,-1120.5300
a0b09000001Iq8UAAS,0010900001LQmYpAAL,2022-07-28,2022-06-14,Acquisition,4683.7500,480.2000,480.2000
a0b09000001IqJIAA0,0010900001QQUtcAAH,2022-08-03,2022-08-03,Mixed,3675.0000,245.0000,245.0000
a0b09000001IqfdAAC,0010900001THTVCAA5,2022-08-09,2022-08-09,Mixed,15282.0000,2490.4000,1040.4000
a0b09000001IqlmAAC,00109000009gnJoAAI,2022-08-12,2022-08-12,Mixed,4475.0000,537.0000,339.2000
a0b09000001IqlwAAC,0010900001THW91AAH,2022-08-12,2022-08-12,Mixed,7333.5000,560.9000,560.9000
a0b09000001Ir2eAAC,0010900001UALkKAAX,2022-08-18,2022-08-18,Mixed,1612.0000,312.0000,312.0000
a0b9N0000009QsjQAE,0010900001THfqrAAD,2022-08-24,2022-08-24,Mixed,2581.6000,553.2000,158.2000
a0b9N0000009RYzQAM,0010900001UASZBAA5,2022-08-24,2022-08-24,Mixed,31725.0000,3525.0000,1986.2500
a0b9N0000009gpQQAQ,0010900001THW91AAH,2022-09-01,2022-08-12,Mixed,2865.6000,238.8000,238.8000
a0b9N000000ABYJQA4,0010900001OTY8PAAX,2022-09-15,2022-06-29,Mixed,33516.0000,441.0000,441.0000
a0b9N000000ABiyQAG,0019N000002cXXCQA2,2022-09-15,2022-09-15,Mixed,18400.4600,2183.7600,1565.0100
a0b9N000000AMuzQAG,0019N000002iAPMQA2,2022-09-20,2022-09-20,Mixed,659.4300,142.2300,142.2300
