pk_order,fk_seller,fk_opportunity,dt_checkout_date,cohort,ds_type_of_load,adjusted_gmv,adjusted_net_revenue,adjusted_contribution_margin
a0b9N000000KUm5QAG,00109000009gnWVAAY,0069N000002bX3hQAE,2023-02-16,2023-01-02,Mixed,10156.9000,1721.9000,221.9000
a0b9N000000KcSBQA0,00109000019J4cEAAS,0069N000002SQWYQA4,2023-02-20,2023-01-09,Liquidation,208847.6000,3569.7700,2000.0600
a0b9N000000KxlTQAS,00109000019J4dRAAS,0060900000LT9p2AAD,2023-02-22,2023-01-10,Stock transfer,0.0000,0.0000,0.0000
a0b9N000000LGwpQAG,00109000009gsyPAAQ,0069N000002cffQQAQ,2023-02-23,2023-02-23,Mixed,4040.0000,151.5000,151.5000
a0b9N000000Lx3YQAS,0019N00000481m5QAA,"",2023-03-03,2023-03-03,Mixed,607173.4200,7372.4400,5271.8300
a0b9N000000M5sfQAC,00109000009gsfhAAA,0069N000002e5WOQAY,2023-03-08,2023-03-08,Mixed,129981.5400,-1011.2200,-3511.2200
a0b9N000000M62zQAC,00109000009gnyVAAQ,0069N000002eg7KQAQ,2023-03-08,2023-01-24,Mixed,19472.0000,3180.0000,2780.0000
a0b9N000000MBw6QAG,00109000009gnWVAAY,0069N000002bX3hQAE,2023-03-10,2023-01-02,Mixed,10258.3000,1760.3000,260.3000
a0b9N000000MHb8QAG,00109000019J4dRAAS,0069N000002Pm5jQAC,2023-03-13,2023-01-10,Liquidation,29904.0000,9256.0000,8836.0000
a0b9N000000Mc8GQAS,00109000019JgfhAAC,0069N000002b46OQAQ,2023-03-16,2023-03-16,Mixed,7740.0000,1393.2000,258.2000
a0b9N000000McQnQAK,00109000009h59NAAQ,0069N000002bnoeQAA,2023-03-16,2023-01-04,Mixed,980.0000,159.9000,-190.1000
a0b9N000000MiFuQAK,00109000009gnWVAAY,0069N000002fxe9QAA,2023-03-20,2023-01-02,Mixed,10000.5000,1604.7700,104.7700
a0b9N000000Mp9XQAS,0019N000004ImFVQA0,0069N000002gqFXQAY,2023-03-23,2023-03-23,Mixed,1416.0000,88.5000,88.5000
a0b9N000000MzFZQA0,00109000009gkbWAAQ,0069N000002f6zVQAQ,2023-03-28,2023-03-28,Mixed,47043.6500,1947.1400,947.1400
a0b9N000000N82NQAS,0010900001JYg52AAD,0069N000002BVP2QAO,2023-03-31,2023-01-30,Acquisition,17182.5000,-650.3400,-1150.3400
a0b9N000000NJ0KQAW,0019N000003lqRUQAY,0069N000002eRA2QAM,2023-04-04,2023-01-16,Acquisition,23647.4000,3136.9000,3136.9000
a0b9N000000NONvQAO,0019N000003BkypQAC,0069N000002gnKUQAY,2023-04-05,2023-03-23,Mixed,124472.0900,1198.9200,153.9200
a0b9N000000NXf7QAG,00109000009gkKkAAI,0069N000002gTmgQAE,2023-04-12,2023-03-20,Mixed,8985.9000,1283.7000,333.7000
a0b9N000000NcNZQA0,0019N000004HcHeQAK,0069N000002iOLAQA2,2023-04-14,2023-03-24,Mixed,52793.5300,1190.7500,1190.7500
a0b9N000000OBWoQAO,00109000009h59NAAQ,0069N000002l2waQAA,2023-04-26,2023-01-04,Mixed,22233.0000,4849.0000,3274.0000
a0b9N000000OaTxQAK,00109000009gkU6AAI,0060900000JHpe2AAD,2023-05-04,2023-01-02,Mixed,27244.0000,278.0000,278.0000
a0b9N000000OsbIQAS,00109000009gqrFAAQ,"",2023-05-08,2023-01-13,Acquisition,11191.5000,5761.3000,5761.3000
a0b9N000000OxdAQAS,0019N000004WzrtQAC,0069N000002ldoAQAQ,2023-05-09,2023-05-09,Mixed,12045.2400,1785.2400,1600.2900
a0b9N000000PFL6QAO,00109000009gkaJAAQ,0069N000002maBBQAY,2023-05-12,2023-05-03,Mixed,50848.6700,2545.1200,2123.9600
a0b9N000000PI9oQAG,0010900000pnq93AAA,0069N000002o31fQAA,2023-05-12,2023-05-12,Mixed,7052.4700,596.6600,387.4900
